gene,seq_length,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,W52,W53,W54,W55,W56,W57,W58,W59,W60,W61,W62,W63,W64,W65,W66,W67,W68,W69,W70,W71,W72,W73,W74,W75,W76,W77,W78,W79,W80,W81,W82,W83,W84,W85,W86,W87,W88,W89,W90,W91,W92,W93,W94,W95,W96,W97,W98,W99,W100
Cd86,309,-1,-2,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-2,-2,-2,-3,-3,-3,-3,-3,-2,-1,-1,-1,0,0,0,0,0,1,1,0,0,0,0,1,2,2,2,2,2,2,4,2,2,3,3,3,2,2,1,1,1,2,2,2,2,2,3,2,2,2,2,2,2,1,1,1,0
Dock4,1978,0,-2,-2,-2,-2,-2,-1,-2,0,-1,-2,-2,-2,-2,-1,-1,-1,-1,-2,-1,-1,-1,-1,-1,0,0,0,0,1,1,1,2,2,2,2,3,3,4,3,3,5,5,6,6,5,5,4,4,4,3,3,3,2,1,0,0,0,0,-1,-1,-1,-1,-1,-1,0,-2,-2,-2,-2,-2,-3,-2,-3,-3,-3,-3,-1,-1,-2,-2,-3,-3,-2,-1,0,0,0,0,1,1,1,0,0,0,-2,-1,0,1,1,1
Ifit1bl1,470,0,-1,0,1,1,1,1,0,1,1,0,0,0,-2,-2,-3,-3,-2,-2,-2,-3,-2,-3,-3,-3,-3,-3,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-4,-5,-5,-3,-3,-3,-1,-1,0,0,-2,-3,-3,-2,-2,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,0,1,0,0,0,-1,-1,-1,-1,0,1,1,1,1,1,2,1,2,2,3,2,2,2,2,2,3,2,3,3,1,1,0
Cd40,289,2,1,1,1,0,0,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-1,-1,0,-1,-1,-1,-1,-2,-1,-1,-2,-2,-2,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,0,-1,-1,-1,-1,0,0,1,3,2,2,3,3,2,2,1,1,1,0,1,1,1,0,0,0,0,-1,-1,-1,1,0,0,-1,-1,-1,-2,-2,-3,-4,-3,-3,-3,-3,-2,-2
Mertk,994,-2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-3,-3,-3,-3,-3,-3,-2,-2,-2,-2,-2,-2,-1,-2,-2,0,0,0,1,1,2,2,2,2,2,3,3,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,0,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0
Fam162a,155,5,4,4,3,3,4,5,5,4,4,4,4,4,5,5,5,3,3,3,5,4,4,4,4,4,4,5,4,4,4,3,3,3,5,5,4,2,2,1,2,3,3,3,2,2,2,3,4,4,4,5,4,3,2,2,2,0,0,0,0,0,-1,-1,-2,-3,-3,-2,-1,0,0,-1,0,0,1,1,1,1,0,0,-1,-2,-1,0,1,1,1,2,2,2,2,2,3,2,2,4,5,5,4,5,5
Ifit1,463,-2,-4,-4,-3,-4,-4,-4,-4,-2,-2,-2,-3,-2,-2,-2,-2,-2,-3,-4,-3,-3,-3,-3,-3,-4,-4,-4,-4,-3,-3,-3,-2,-1,-1,0,1,2,2,1,0,-1,0,0,0,0,0,1,1,1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,0,0,-1,-1,-1,-2,-2,-2,-2,-1,0,0,0,0,0,1,0,1,1,2,1,1,1,1,1,2,1,2,2,0,0,0,0,1,0,0,0,0,0,0
Dhx58,678,1,0,2,2,1,1,1,1,1,3,4,4,4,3,3,3,3,4,3,4,4,4,4,4,4,4,5,5,5,5,4,4,3,3,3,2,1,1,2,2,1,1,0,2,2,2,3,2,2,1,1,1,1,0,0,0,-1,0,0,0,0,0,0,0,0,2,3,3,1,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-2,-4,-5,-5,-5,-6,-6,-5,-6,-7,-7,-7,-6,-6
Plcl2,1128,3,2,2,2,2,2,1,1,1,1,1,1,2,2,2,2,2,3,3,4,4,3,3,3,2,2,2,2,1,0,0,0,0,1,1,1,1,0,-1,-1,0,0,-1,-1,-1,0,0,-1,-1,-2,-2,-1,-1,-1,0,0,0,0,0,1,1,1,1,1,1,2,1,2,4,4,3,3,3,3,4,4,4,4,4,4,5,4,4,4,4,4,5,6,5,6,7,8,8,8,8,7,8,8,7,7
Eif2ak2,515,2,1,1,1,2,2,2,1,2,3,3,4,3,3,3,2,2,0,-1,0,-1,-1,-1,-2,-2,-1,-1,-1,0,1,1,0,0,1,1,1,1,2,2,1,1,1,0,0,0,-1,-1,-1,0,0,1,0,0,1,1,0,0,-1,-2,-3,-3,-2,-2,-3,-3,-3,-3,-3,-4,-4,-4,-4,-3,-3,-3,-2,-1,1,2,1,1,2,2,2,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,2
Fpr2,351,-1,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-1,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,-1,0,0,0,0,0,0,-1
Slfn8,407,-3,-4,-2,-2,-3,-3,-2,-1,0,1,0,-1,0,0,1,2,2,1,1,1,1,1,2,2,2,2,2,3,4,5,4,4,3,3,4,4,3,3,2,0,0,1,0,-1,-2,-2,-2,-2,-2,-3,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-3,-4,-3,-2,-2,-3,-4,-3,-3,-3,-3,-2,-2,0,-1,-1,-1,-2,0,0,-1,-2,-2,-2,-2,-1,-1,0,0,0,1,1,0,0
Gbp4,644,1,0,-1,-1,-1,-2,-2,-3,-3,-3,-4,-4,-4,-5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-3,-3,-3,-3,-2,-2,-1,-1,-1,-1,-1,0,0,0,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,-1,-1,-2,-2,-2,-3,-4,-4,-5,-3,-3,-4,-4,-3
Rbpj,526,5,3,3,3,3,3,2,1,2,2,1,1,1,1,0,0,-1,0,-1,-1,-3,-2,-2,-2,-2,-1,0,0,1,2,1,2,2,3,3,3,4,6,4,5,5,4,4,4,4,4,4,3,3,3,5,4,4,4,5,4,3,3,3,1,3,4,4,3,3,3,3,2,3,2,2,3,3,3,3,3,3,4,5,6,6,5,5,5,3,4,3,3,3,4,2,1,0,0,0,0,0,0,0,0
Jak2,1132,-2,-3,-3,-2,-2,-2,-3,-3,-3,-3,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-3,-2,-2,-1,-1,-1,-1,-1,-2,-2,-3,-3,-4,-4,-4,-4,-4,-4,-4,-4,-3,-3,-3,-3,-3,-3,-3,-3,-2,-2,-1,-1,-1,-2,-2,-2,-2,-3,-2,-3,-2,-2,-1,0,0,0,0,0,0,0,-1,-1,-2,-3,-3,-3,-2,-2,-3,-3,-3,-3,-2,-2,-1,-1,-1,0,0,1,0,0,0,0,0,0,0
Src,535,4,3,3,3,3,2,2,1,1,1,2,2,2,2,0,-1,-2,-1,-1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,-1,-1,-2,-2,-1,-1,-2,-1,-2,-2,-2,-2,-1,0,-1,-2,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-3,-3,-3,-3,-2,-2,-1,-1,-2,-2,-1
